Company Name,Industry,Symbol
Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS.NS
Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT.NS
Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK.NS
Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO.NS
Bajaj Finserv Ltd.,FINANCIAL SERVICES,BAJAJFINSV.NS
Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE.NS
Bharti Airtel Ltd.,TELECOM,BHARTIARTL.NS
Bharat Petroleum Corporation Ltd.,ENERGY,BPCL.NS
Britannia Industries Ltd.,CONSUMER GOODS,BRITANNIA.NS
Cipla Ltd.,PHARMA,CIPLA.NS
Coal India Ltd.,METALS,COALINDIA.NS
Divi'S Laboratories,PHARMA,DIVISLAB.NS
Dr. Reddy's Laboratories Ltd.,PHARMA,DRREDDY.NS
Eicher Motors Ltd.,AUTOMOBILE,EICHERMOT.NS
Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,GRASIM.NS
HCL Technologies Ltd.,IT,HCLTECH.NS
Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,HDFC.NS
HDFC Bank Ltd.,FINANCIAL SERVICES,HDFCBANK.NS
HDFC Life Ltd.,FINANCIAL SERVICES,HDFCLIFE.NS
Hero MotoCorp Ltd.,AUTOMOBILE,HEROMOTOCO.NS
Hindalco Industries Ltd.,METALS,HINDALCO.NS
Hindustan Unilever Ltd.,CONSUMER GOODS,HINDUNILVR.NS
ICICI Bank Ltd.,FINANCIAL SERVICES,ICICIBANK.NS
IndusInd Bank Ltd.,FINANCIAL SERVICES,INDUSINDBK.NS
Infosys Ltd.,IT,INFY.NS
Indian Oil Corporation Ltd.,ENERGY,IOC.NS
ITC Ltd.,CONSUMER GOODS,ITC.NS
JSW Steel Ltd.,METALS,JSWSTEEL.NS
Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,KOTAKBANK.NS
Larsen & Toubro Ltd.,CONSTRUCTION,LT.NS
Mahindra & Mahindra Ltd.,AUTOMOBILE,M&M.NS
Maruti Suzuki India Ltd.,AUTOMOBILE,MARUTI.NS
Nestle India Ltd.,CONSUMER GOODS,NESTLEIND.NS
NTPC Ltd.,ENERGY,NTPC.NS
Oil & Natural Gas Corporation Ltd.,ENERGY,ONGC.NS
Power Grid Corporation of India Ltd.,ENERGY,POWERGRID.NS
Reliance Industries Ltd.,ENERGY,RELIANCE.NS
State Bank of India,FINANCIAL SERVICES,SBIN.NS
SBI Life Insurance Compnay,FINANCIAL SERVICES,SBILIFE.NS
Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS,SHREECEM.NS
Sun Pharmaceutical Industries Ltd.,PHARMA,SUNPHARMA.NS
Tata Motors Ltd.,AUTOMOBILE,TATAMOTORS.NS
Tata Steel Ltd.,METALS,TATASTEEL.NS
Tata Consultancy Services Ltd.,IT,TCS.NS
Tata Consumer Products Ltd.,CONSUMER GOODS,TATACONSUM.NS
Tech Mahindra Ltd.,IT,TECHM.NS
Titan Company Ltd.,CONSUMER GOODS,TITAN.NS
UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,ULTRACEMCO.NS
UPL Ltd.,FERTILISERS & PESTICIDES,UPL.NS
Wipro Ltd.,IT,WIPRO.NS

